_id,en.name,en.address,en.location,map,website,latitude,longitude
-53,Nasu Animal Kingdom,"1042-1 Oshima, Nasu, Nasu District, Tochigi Prefecture 329-3223, Japan","Nasu District, Tochigi Prefecture",https://goo.gl/maps/32qL3cSPkwP2,http://www.nasu-oukoku.com/,37.1290293,140.0349543
-54,Ueno Zoological Gardens,"9-83 Uenokoen, Taitō, Tokyo 110-0007, Japan","Taitō, Tokyo",https://goo.gl/maps/o6BBZkWDuv32,http://www.tokyo-zoo.net/zoo/ueno/,35.7164578,139.769129
-57,Gunma Safari Park,"Japan, 〒370-2321 Gunma Prefecture, 富岡市岡本１",Gunma Prefecture,https://goo.gl/maps/at8sz15RscJ2,http://www.safari.co.jp/,36.227195,138.8849445
-58,Kobe Animal Kingdom,"Japan, 〒650-0047 Hyōgo Prefecture, 神戸市中央区港島南町７丁目１−９","Port Island, Chūō-ku, Kobe, Japan",https://goo.gl/maps/eD1oUBUky182,https://www.kobe-oukoku.com/,34.654646,135.2203581
-59,Atagawa Tropical & Alligator Garden,"1253-10 Naramoto, Higashiizu, Kamo District, Shizuoka Prefecture 413-0302, Japan","Higashiizu-cho, Kamo, Shizuoka Prefecture, Japan",https://goo.gl/maps/H7nX1JM8hAv,http://bananawani.jp/,34.8161636,139.0656855
-60,Noichi Zoological Park of Kochi Prefecture,"738 大谷 野市町 Konan, Kōchi Prefecture 781-5233, Japan","Konan, Kōchi Prefecture, Japan",https://goo.gl/maps/4p2bfiBPbGL2,http://www.noichizoo.or.jp/,33.5700558,133.7052225
-61,Fukuchiyama Zoo,"377-1 Izaki, Fukuchiyama, Kyoto Prefecture 620-0017, Japan","Fukuchiyama, Japan",https://goo.gl/maps/XZvhpftc9L72,http://www.sandanike-kouen.or.jp/zoo.php,35.3101894,135.1364023
-63,Toyama Municipal Family Park Zoo,"２５４ Furusawa, Toyama, Toyama Prefecture 930-0151, Japan","Toyama, Toyama Prefecture, Japan",https://goo.gl/maps/v3zCNrq2igs,http://www.toyama-familypark.jp/,36.6909023,137.1460493
-64,Tokyo Toritsu Oshima Park,"2 泉津字福重 Oshima, Tokyo 100-0103, Japan","Ōshima, Tokyo, Japan",https://goo.gl/maps/ygjtnJ59iXw,http://www.soumu.metro.tokyo.jp/11osima/park/www/htdocs/parkindex.html,34.7607382,139.4311267
-69,Hamura Zoo,"4122番地 Hane, Hamura-shi, Tōkyō-to 205-0012, Japan","Hamura, Tokyo, Japan",https://goo.gl/maps/EwC6VTy9MEp,http://www.t-net.ne.jp/~hamura-z/,35.7673958,139.3266258
